date	number	close
1-May-07	0.3	99.47
1-Jun-07	0.6	118.4
2-Jul-07	0.9	121.26
1-Aug-07	1.2	135
4-Sep-07	1.5	144.16
1-Oct-07	1.8	156.34
1-Nov-07	2.1	187.44
3-Dec-07	2.4	178.86
2-Jan-08	2.7	194.84
1-Feb-08	3	133.75
3-Mar-08	3.3	121.73
1-Apr-08	3.6	149.53
1-May-08	3.9	180
2-Jun-08	4.2	186.1
1-Jul-08	4.5	174.68
1-Aug-08	4.8	156.66
2-Sep-08	5.1	166.19
1-Oct-08	5.4	109.12
3-Nov-08	5.7	106.96
1-Dec-08	6	88.93
1-Jan-09	6.3	85.35
2-Feb-09	6.6	91.51
2-Mar-09	6.9	87.94
1-Apr-09	7.2	108.69
1-May-09	7.5	127.24
1-Jun-09	7.8	139.35
1-Jul-09	8.1	142.83
3-Aug-09	8.4	166.43
1-Sep-09	8.7	165.3
1-Oct-09	9	180.86
2-Nov-09	9.3	189.31
1-Dec-09	9.6	196.97
1-Jan-10	9.9	210.73
1-Feb-10	10.2	194.73
1-Mar-10	10.5	208.99
1-Apr-10	10.8	235.97
3-May-10	11.1	266.35
1-Jun-10	11.4	260.83
1-Jul-10	11.7	248.48
2-Aug-10	12	261.85
1-Sep-10	12.3	250.33
1-Oct-10	12.6	282.52
1-Nov-10	12.9	304.18
1-Dec-10	13.2	316.4
3-Jan-11	13.5	329.57
1-Feb-11	13.8	345.03
1-Mar-11	14.1	349.31
1-Apr-11	14.4	344.56
2-May-11	14.7	346.28
1-Jun-11	15	345.51
1-Jul-11	15.3	343.26
1-Aug-11	15.6	396.75
1-Sep-11	15.9	381.03
3-Oct-11	16.2	374.6
1-Nov-11	16.5	396.51
1-Dec-11	16.8	387.93
3-Jan-12	17.1	411.23
1-Feb-12	17.4	456.19
1-Mar-12	17.7	544.47
2-Apr-12	18	618.63
1-May-12	18.3	582.13
